strain,orien,roundness,aspect,size,tilt,nearest_grain,ferrite_bainite,size4,division
2.0,1.0,0.29,0.66,0.9525021536533792,52.503,33.2415,0.0,0.5247082778604433,44.91264131551901
1.0,1.0,0.371,0.404,0.3132586733495184,6.420999999999991,64.0703,0.0,0.2682277390555251,14.375
1.0,0.0,0.235,0.452,0.7312632156002818,53.494,50.01,0.0,0.5344976114026158,26.907630522088343
1.0,1.0,0.339,0.467,0.5697392121544366,42.669,33.2415,0.0,0.4170256088965463,26.804123711340228
3.0,0.0,0.33,0.343,0.8320933510846581,67.153,46.0977,0.0,0.6500117472002507,21.882352941176446
1.0,3.0,0.621,0.6920000000000001,3.055250998512021,71.442,35.3836,0.0,2.8584853943143558,6.440243511694959
1.0,1.0,0.5820000000000001,0.657,0.5491816117158743,67.917,57.0351,1.0,0.45030934293993263,18.00356506238859
1.0,3.0,0.392,0.794,0.6764429477641162,43.56800000000001,28.3019,1.0,0.5854021458219124,13.458755426917506
2.0,3.0,0.31,0.363,0.3524160075182082,35.8,27.8029,1.0,0.21340747121935932,39.444444444444464
1.0,3.0,0.229,0.34,1.0582269559088415,65.828,35.1141,1.0,0.6186858798652988,41.53561517113783
1.0,0.0,0.236,0.394,0.7204949487038923,25.445,28.3019,0.0,0.5305818779857467,26.35869565217391
1.0,3.0,0.404,0.7509999999999999,1.0043856214268931,11.044000000000011,33.9706,0.0,0.9162816195473412,8.771929824561399
1.0,0.0,0.241,0.44,0.5873600125303471,49.64,29.5466,1.0,0.4933824105254914,16.00000000000003
2.0,3.0,0.506,0.5660000000000001,0.3817840081447255,67.792,36.4005,1.0,0.3445845406844702,9.743589743589736
3.0,3.0,0.252,0.7659999999999999,0.9094290860678206,2.430000000000007,27.8029,1.0,0.5638656120291331,37.997847147470395
3.0,0.0,0.125,0.471,1.3499490954655806,9.442000000000009,36.8782,0.0,0.7028741483279819,47.93328498912254
2.0,3.0,0.5,0.5379999999999999,1.4282637638029605,18.734,35.1141,1.0,1.2765290938992877,10.623714873200809
1.0,2.0,0.32,0.989,1.3793170960920975,56.352,27.2947,1.0,1.358759495653536,1.490418736692661
2.0,2.0,0.075,0.462,3.4957710079097817,16.170999999999992,76.7919,0.0,1.72683843683922,50.60207224866984
2.0,1.0,0.264,0.511,1.0014488213642414,57.637,27.2947,1.0,0.8829978855039549,11.827956989247296
2.0,3.0,0.401,0.341,0.4747826767953637,25.391,28.178,0.0,0.4091941420628084,13.8144329896907
1.0,0.0,0.387,0.594,0.4610776098363224,47.65799999999999,43.2666,0.0,0.3622053410603806,21.443736730360943
2.0,0.0,0.196,0.175,0.8643981517738273,45.516999999999996,40.8044,0.0,0.6970005482026784,19.365798414496037
1.0,3.0,0.261,0.355,2.2368627143864046,21.858,28.178,0.0,1.9010885738898893,15.010940919037225
2.0,0.0,0.5489999999999999,0.647,0.3612264077061634,31.839,30.4795,0.0,0.2447333385543112,32.24932249322494
1.0,1.0,0.48,0.521,0.4454146761688464,2.588,29.0689,0.0,0.28389067272300106,36.26373626373625
1.0,3.0,0.417,0.743,0.3798261414362911,63.069,21.0238,1.0,0.1370506695904143,63.917525773195884
2.0,2.0,0.36,0.256,0.4786984102122328,4.313999999999994,21.0238,0.0,0.3093429399326494,35.37832310838447
1.0,1.0,0.431,0.633,1.2892552275041114,85.89399999999998,31.4006,1.0,0.3328373404338633,74.1837509491268
0.0,1.0,0.55,0.684,0.4571618764194533,53.072,46.8722,1.0,0.28389067272300106,37.90149892933616
0.0,3.0,0.36,0.556,4.597071031404182,80.719,46.8722,1.0,3.1560811339963974,31.345826235093714
1.0,0.0,0.303,0.55,1.9284987078079725,16.583,29.0689,0.0,1.581956300415068,17.969543147208114
2.0,2.0,0.235,0.725,2.503132586733495,86.103,27.2029,0.0,1.3568016289451013,45.79585451701213
2.0,3.0,0.389,0.293,0.3533949408724254,4.046999999999997,47.0425,0.0,0.2466912052627457,30.19390581717451
2.0,3.0,0.363,0.62,0.7694416164147545,6.304000000000002,35.3553,0.0,0.6872112146605059,10.687022900763353
2.0,1.0,0.269,0.461,0.5961704127183021,70.18,24.0,0.0,0.1899130707181455,68.14449917898193
2.0,1.0,0.333,0.462,0.431709609209805,71.117,27.2029,0.0,0.3543738742266427,17.913832199546476
1.0,0.0,0.366,0.333,0.6558853473255541,28.90600000000001,24.1868,0.0,0.2506069386796147,61.791044776119406
1.0,2.0,0.374,0.563,0.7244106821207612,63.146,47.4342,0.0,0.6813376145352025,5.945945945945938
1.0,1.0,0.412,0.297,0.4003837418748532,86.101,21.9317,0.0,0.2486490719711802,37.89731051344744
1.0,2.0,0.229,0.327,0.5501605450700916,84.93,24.1868,0.0,0.4561829430652361,17.081850533807824
2.0,2.0,0.306,0.371,0.6744850810556817,3.920999999999992,41.0,0.0,0.5638656120291331,16.40058055152393
1.0,3.0,0.431,0.4970000000000001,0.34066880726760124,26.416,47.0425,0.0,0.29172213955673904,14.367816091954012
2.0,0.0,0.375,0.5760000000000001,0.35633174093507713,13.807,24.0,0.0,0.2486490719711802,30.219780219780223
